Date,Time,CCNumber,Amount,CCType,CCExpires,CVV2,GivenName,MiddleInitial,Surname,ZipCode,TelephoneNumber,MerchantID,TransactionID
1/1/2015,05:23:10,5271724585809900,44,MasterCard,20-May,59,Sabine,S,Oster,27801,252-500-7984,HouseMart_2191,178235562
1/1/2015,05:23:10,5325035836250450,469,MasterCard,16-Nov,233,Emeterio,E,Tijerina,45223,513-542-6185,HouseMart_2191,183508655
1/1/2015,05:23:10,5336824878105630,677,MasterCard,19-May,955,Astolfo,A,Villegas,97230,503-260-0447,HouseMart_2191,194057308
1/1/2015,05:23:10,5466299122648470,245,MasterCard,18-Jul,754,William,S,Mason,33830,813-267-5229,BOFAATM_NW2301,271983002
1/1/2015,05:23:10,5582749233809720,319,MasterCard,16-Dec,842,Benon,M,Cordero,68039,402-837-5512,WalmartValpo,295151021
1/1/2015,05:23:10,4485184011978130,1,Visa,16-Jul,824,Leocadio,Q,Garibay,16101,724-657-5526,HouseMart_2191,22425517
1/1/2015,05:23:10,4539093512992630,1,Visa,17-Oct,263,Luca,M,Pfeifer,46625,574-203-8977,HouseMart_2191,68353676
1/1/2015,05:23:10,4916307044908460,1,Visa,20-Jan,89,Anthony,L,Hoard,61820,217-239-0171,HouseMart_2191,74159054
1/1/2015,05:23:10,4929523063334220,1,Visa,18-Jun,521,Cloe,A,Sánchez,77480,979-647-6558,HouseMart_2191,75245104
1/1/2015,05:31:01,5187015571136890,776,MasterCard,17-Dec,908,Libby,K,Juhasz,2141,617-602-6639,Menards016,476435316
1/1/2015,05:31:01,5304963849108820,173,MasterCard,20-Jan,78,Joad,D,Téllez,98101,206-403-2396,HouseMart_2000,560368249
1/1/2015,05:31:01,5313386289276400,798,MasterCard,19-Feb,736,Leah,T,Reiniger,93401,805-255-0261,HouseMart_2191,567097594
1/1/2015,05:31:01,5502629859643450,599,MasterCard,19-Aug,246,Jeff,C,Mitchell,48098,248-964-0810,PAYPAL-R15,647760188
1/1/2015,05:31:01,5524691315147430,388,MasterCard,20-May,77,Bryan,M,Kilroy,40593,859-323-3902,WalmartValpo,671035332
1/1/2015,05:31:01,4485716372172370,228,Visa,17-Mar,590,Nancy,R,Cuellar,49503,269-861-9504,AMZN_A123,316906474
